Density of Separation,Weight %,Cum. Floats Wt%,Fraction Ash %,Cum. Floats Ash%,Cum. Sinks Wt%,Cum. Sinks Ash%,Inst. Ash Floats Yield %
1.3,28,28,1.9,1.9,72,27.4,14
1.4,23,51,3.2,2.5,49,38.8,39.5
1.5,14,65,9.1,3.9,35,50.7,58
1.6,6,71,14.3,4.8,29,58.2,68
1.7,3,74,26.4,5.7,26,61.9,72.5
1.8,4,78,33,7.1,22,67.1,76
1.9,22,100,67.1,20.3,0,,89
